"RAW EXTRACTION LOG  —  All 1,195 questions extracted from BRSR, CDP, EcoVadis & GRI",,,,,
Row ID,Source Standard,Module / Section,Question ID,Indicator Type,Question Text
47,BRSR,Section C: Principle-wise Performance > Principle 1,BRSR-3,Essential,"Of the instances disclosed in Question 2 above, details of the Appeal/ Revision"
48,BRSR,Section C: Principle-wise Performance > Principle 1,BRSR-4,Essential,"Does the entity have an anti-corruption or anti-bribery policy? If yes, provide details in"
49,BRSR,Section C: Principle-wise Performance > Principle 1,BRSR-5,Essential,Number of Directors/KMPs/employees/workers against whom disciplinary action was
50,BRSR,Section C: Principle-wise Performance > Principle 1,BRSR-6,Essential,Details of complaints with regard to conflict of interest:
51,BRSR,Section C: Principle-wise Performance > Principle 1,BRSR-7,Essential,Provide details of any corrective action taken or underway on issues related to fines /
52,BRSR,Section C: Principle-wise Performance > Principle 1,BRSR-1,Leadership,Awareness programmes conducted for value chain partners on any of the Principles
53,BRSR,Section C: Principle-wise Performance > Principle 1,BRSR-2,Leadership,Does the entity have processes in place to avoid/ manage conflict of interests involving
54,BRSR,Section C: Principle-wise Performance > Principle 2,BRSR-1,Essential,Percentage of R&D and capital expenditure (capex) investments in specific technologies
55,BRSR,Section C: Principle-wise Performance > Principle 2,BRSR-2,Essential,a. Does the entity have procedures in place for sustainable sourcing? (Yes/No)
56,BRSR,Section C: Principle-wise Performance > Principle 2,BRSR-3,Essential,"Describe the processes in place to safely reclaim your products for reusing, recycling and"
57,BRSR,Section C: Principle-wise Performance > Principle 2,BRSR-4,Essential,Whether Extended Producer Responsibility (EPR) is applicable to the entity’s activities
58,BRSR,Section C: Principle-wise Performance > Principle 2,BRSR-1,Leadership,Has the entity conducted Life Cycle Perspective / Assessments (LCA) for any of its
59,BRSR,Section C: Principle-wise Performance > Principle 2,BRSR-2,Leadership,If there are any significant social or environmental concerns and/or risks arising from
60,BRSR,Section C: Principle-wise Performance > Principle 2,BRSR-3,Leadership,Percentage of recycled or reused input material to total material (by value) used in
61,BRSR,Section C: Principle-wise Performance > Principle 2,BRSR-4,Leadership,"Of the products and packaging reclaimed at end of life of products, amount (in metric"
62,BRSR,Section C: Principle-wise Performance > Principle 2,BRSR-5,Leadership,Reclaimed products and their packaging materials (as percentage of products sold) for
63,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-1,Essential,a. Details of measures for the well-being of employees:
64,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-2,Essential,"Details of retirement benefits, for Current FY and Previous Financial Year."
65,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-3,Essential,Accessibility of workplaces
66,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-4,Essential,Does the entity have an equal opportunity policy as per the Rights of Persons with
67,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-5,Essential,Return to work and Retention rates of permanent employees and workers that took
68,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-6,Essential,Is there a mechanism available to receive and redress grievances for the following
69,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-7,Essential,Membership of employees and worker in association(s) or Unions recognised by the
70,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-8,Essential,Details of training given to employees and workers:
71,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-9,Essential,Details of performance and career development reviews of employees and worker:
72,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-10,Essential,Health and safety management system:
73,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-11,Essential,"Details of safety related incidents, in the following format:"
74,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-12,Essential,Describe the measures taken by the entity to ensure a safe and healthy work place.
75,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-13,Essential,Number of Complaints on the following made by employees and workers:
76,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-14,Essential,Assessments for the year:
77,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-15,Essential,Provide details of any corrective action taken or underway to address safety-related
78,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-1,Leadership,Does the entity extend any life insurance or any compensatory package in the event of
79,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-2,Leadership,Provide the measures undertaken by the entity to ensure that statutory dues have been
80,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-3,Leadership,Provide the number of employees / workers having suffered high consequence work-
81,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-4,Essential,Does the entity provide transition assistance programs to facilitate continued
82,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-5,Essential,Details on assessment of value chain partners:
83,BRSR,Section C: Principle-wise Performance > Principle 3,BRSR-6,Essential,Provide details of any corrective actions taken or underway to address significant risks /
84,BRSR,Section C: Principle-wise Performance > Principle 4,BRSR-1,Essential,Describe the processes for identifying key stakeholder groups of the entity.
85,BRSR,Section C: Principle-wise Performance > Principle 4,BRSR-2,Essential,List stakeholder groups identified as key for your entity and the frequency of
86,BRSR,Section C: Principle-wise Performance > Principle 4,BRSR-1,Leadership,Provide the processes for consultation between stakeholders and the Board on
87,BRSR,Section C: Principle-wise Performance > Principle 4,BRSR-2,Leadership,Whether stakeholder consultation is used to support the identification and
88,BRSR,Section C: Principle-wise Performance > Principle 4,BRSR-3,Leadership,"Provide details of instances of engagement with, and actions taken to, address the"
89,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-1,Essential,Employees and workers who have been provided training on human rights issues and
90,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-2,Essential,"Details of minimum wages paid to employees and workers, in the following format:"
91,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-3,Essential,"Details of remuneration/salary/wages, in the following format:"
92,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-4,Essential,Do you have a focal point (Individual/ Committee) responsible for addressing human
93,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-5,Essential,Describe the internal mechanisms in place to redress grievances related to human rights
94,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-6,Essential,Number of Complaints on the following made by employees and workers:
95,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-7,Essential,Mechanisms to prevent adverse consequences to the complainant in discrimination and
96,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-8,Essential,Do human rights requirements form part of your business agreements and contracts?
97,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-9,Essential,Assessments for the year:
98,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-10,Essential,Provide details of any corrective actions taken or underway to address significant risks /
99,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-1,Leadership,Details of a business process being modified / introduced as a result of addressing
100,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-2,Leadership,Details of the scope and coverage of any Human rights due-diligence conducted.
101,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-3,Leadership,"Is the premise/office of the entity accessible to differently abled visitors, as per the"
102,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-4,Leadership,Details on assessment of value chain partners:
103,BRSR,Section C: Principle-wise Performance > Principle 5,BRSR-5,Leadership,Provide details of any corrective actions taken or underway to address significant risks /
104,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-1,Essential,"Details of total energy consumption (in Joules or multiples) and energy intensity, in the"
105,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-2,Essential,Does the entity have any sites / facilities identified as designated consumers (DCs) under
106,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-3,Essential,"Provide details of the following disclosures related to water, in the following format:"
107,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-4,Essential,"Has the entity implemented a mechanism for Zero Liquid Discharge? If yes, provide details"
108,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-5,Essential,"Please provide details of air emissions (other than GHG emissions) by the entity, in the"
109,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-6,Essential,Provide details of greenhouse gas emissions (Scope 1 and Scope 2 emissions) & its
110,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-7,Essential,"Does the entity have any project related to reducing Green House Gas emission? If Yes,"
111,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-8,Essential,"Provide details related to waste management by the entity, in the following format:"
112,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-9,Essential,Briefly describe the waste management practices adopted in your establishments. Describe
113,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-10,Essential,If the entity has operations/offices in/around ecologically sensitive areas (such as national
114,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-11,Essential,Details of environmental impact assessments of projects undertaken by the entity based
115,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-12,Essential,Is the entity compliant with the applicable environmental law/ regulations/ guidelines in
116,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-1,Leadership,Provide break-up of the total energy consumed (in Joules or multiples) from renewable
117,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-2,Leadership,Provide the following details related to water discharged:
118,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-3,Leadership,"Water withdrawal, consumption and discharge in areas of water stress (in kilolitres):"
119,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-4,Leadership,"Please provide details of total Scope 3 emissions & its intensity, in the following format:"
120,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-5,Leadership,With respect to the ecologically sensitive areas reported at Question 10 of Essential
121,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-6,Leadership,If the entity has undertaken any specific initiatives or used innovative technology or
122,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-7,Leadership,Does the entity have a business continuity and disaster management plan? Give details in
123,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-8,Leadership,"Disclose any significant adverse impact to the environment, arising from the value chain of"
124,BRSR,Section C: Principle-wise Performance > Principle 6,BRSR-9,Leadership,Percentage of value chain partners (by value of business done with such partners) that
125,BRSR,Section C: Principle-wise Performance > Principle 7,BRSR-1,Essential,a. Number of affiliations with trade and industry chambers/ associations.
126,BRSR,Section C: Principle-wise Performance > Principle 7,BRSR-2,Essential,Provide details of corrective action taken or underway on any issues related to anti-
127,BRSR,Section C: Principle-wise Performance > Principle 7,BRSR-1,Leadership,Details of public policy positions advocated by the entity:
128,BRSR,Section C: Principle-wise Performance > Principle 8,BRSR-1,Essential,Details of Social Impact Assessments (SIA) of projects undertaken by the entity based
129,BRSR,Section C: Principle-wise Performance > Principle 8,BRSR-2,Essential,Provide information on project(s) for which ongoing Rehabilitation and Resettlement
130,BRSR,Section C: Principle-wise Performance > Principle 8,BRSR-3,Essential,Describe the mechanisms to receive and redress grievances of the community.
131,BRSR,Section C: Principle-wise Performance > Principle 8,BRSR-4,Essential,Percentage of input material (inputs to total inputs by value) sourced from suppliers:
132,BRSR,Section C: Principle-wise Performance > Principle 8,BRSR-1,Leadership,Provide details of actions taken to mitigate any negative social impacts identified in the
133,BRSR,Section C: Principle-wise Performance > Principle 8,BRSR-2,Essential,Provide the following information on CSR projects undertaken by your entity in
134,BRSR,Section C: Principle-wise Performance > Principle 8,BRSR-3,Essential,(a) Do you have a preferential procurement policy where you give preference to
135,BRSR,Section C: Principle-wise Performance > Principle 8,BRSR-4,Essential,Details of the benefits derived and shared from the intellectual properties owned or
136,BRSR,Section C: Principle-wise Performance > Principle 8,BRSR-5,Essential,"Details of corrective actions taken or underway, based on any adverse order in"
137,BRSR,Section C: Principle-wise Performance > Principle 8,BRSR-6,Essential,Details of beneficiaries of CSR Projects:
138,BRSR,Section C: Principle-wise Performance > Principle 9,BRSR-1,Essential,Describe the mechanisms in place to receive and respond to consumer complaints and
139,BRSR,Section C: Principle-wise Performance > Principle 9,BRSR-2,Essential,Turnover of products and/ services as a percentage of turnover from all products/service
140,BRSR,Section C: Principle-wise Performance > Principle 9,BRSR-3,Essential,Number of consumer complaints in respect of the following:
141,BRSR,Section C: Principle-wise Performance > Principle 9,BRSR-4,Essential,Details of instances of product recalls on account of safety issues:
142,BRSR,Section C: Principle-wise Performance > Principle 9,BRSR-5,Essential,Does the entity have a framework/ policy on cyber security and risks related to data
143,BRSR,Section C: Principle-wise Performance > Principle 9,BRSR-6,Essential,Provide details of any corrective actions taken or underway on issues relating to
144,BRSR,Section C: Principle-wise Performance > Principle 9,BRSR-1,Leadership,Channels / platforms where information on products and services of the entity can be
145,BRSR,Section C: Principle-wise Performance > Principle 9,BRSR-2,Leadership,Steps taken to inform and educate consumers about safe and responsible usage of
146,BRSR,Section C: Principle-wise Performance > Principle 9,BRSR-3,Leadership,Mechanisms in place to inform consumers of any risk of disruption/discontinuation of
147,BRSR,Section C: Principle-wise Performance > Principle 9,BRSR-4,Leadership,Does the entity display product information on the product over and above what is
148,BRSR,Section C: Principle-wise Performance > Principle 9,BRSR-5,Leadership,Provide the following information relating to data breaches:
149,CDP,Module 1: Introduction ...............................................,CDP-1.1,Main question,In which language are you submitting your response?
150,CDP,Module 1: Introduction ...............................................,CDP-1.2,Main question,Select the currency used for all financial information disclosed throughout your response.
151,CDP,Module 1: Introduction ...............................................,CDP-1.3,Main question,Provide an overview and introduction to your organization.
152,CDP,Module 1: Introduction ...............................................,CDP-1.4,Main question,"State the end date of the year for which you are reporting data. For emissions data, indicate whether you will"
153,CDP,Module 1: Introduction ...............................................,CDP-1.4.1,Sub-question,What is your organization’s annual revenue for the reporting period?
154,CDP,Module 1: Introduction ...............................................,CDP-1.5,Main question,Provide details on your reporting boundary.
155,CDP,Module 1: Introduction ...............................................,CDP-1.6,Main question,"Does your organization have an ISIN code or another unique identifier (e.g., Ticker, CUSIP, etc.)?"
156,CDP,Module 1: Introduction ...............................................,CDP-1.7,Main question,Select the countries/areas in which you operate.
157,CDP,Module 1: Introduction ...............................................,CDP-1.8,Main question,Are you able to provide geolocation data for your facilities?
158,CDP,Module 1: Introduction ...............................................,CDP-1.8.1,Sub-question,Please provide all available geolocation data for your facilities.
159,CDP,Module 1: Introduction ...............................................,CDP-1.9,Main question,What was the size of your organization based on total assets value at the end of the reporting period?
160,CDP,Module 1: Introduction ...............................................,CDP-1.10,Main question,"Which activities does your organization undertake, and which industry sectors does your organization lend"
161,CDP,Module 1: Introduction ...............................................,CDP-1.11,Main question,"Are greenhouse gas emissions and/or water-related impacts from the production,"
162,CDP,Module 1: Introduction ...............................................,CDP-1.12,Main question,Which part of the concrete value chain does your organization operate in?
163,CDP,Module 1: Introduction ...............................................,CDP-1.13,Main question,In which part of the coal value chain does your organization operate?
164,CDP,Module 1: Introduction ...............................................,CDP-1.14,Main question,In which part of the chemicals value chain does your organization operate?
165,CDP,Module 1: Introduction ...............................................,CDP-1.15,Main question,Which real estate and/or construction activities does your organization engage in?
166,CDP,Module 1: Introduction ...............................................,CDP-1.16,Main question,In which part of the electric utilities value chain does your organization operate?
167,CDP,Module 1: Introduction ...............................................,CDP-1.16.1,Sub-question,"For your electricity generation activities, provide details of your nameplate capacity and electricity"
168,CDP,Module 1: Introduction ...............................................,CDP-1.17,Main question,In which part of the metals and mining value chain does your organization operate?
169,CDP,Module 1: Introduction ...............................................,CDP-1.18,Main question,"Provide details on the mining projects covered by this disclosure, by specifying your project(s) type, location"
170,CDP,Module 1: Introduction ...............................................,CDP-1.19,Main question,In which part of the oil and gas value chain does your organization operate?
171,CDP,Module 1: Introduction ...............................................,CDP-1.20,Main question,Which parts of the steel value chain does your organization operate in?
172,CDP,Module 1: Introduction ...............................................,CDP-1.21,Main question,For which transport modes will you be providing data?
173,CDP,Module 1: Introduction ...............................................,CDP-1.22,Main question,Provide details on the commodities that you produce and/or source.
174,CDP,Module 1: Introduction ...............................................,CDP-1.23,Main question,Which of the following agricultural commodities that your organization produces and/or sources are the
175,CDP,Module 1: Introduction ...............................................,CDP-1.24,Main question,Has your organization mapped its value chain?
176,CDP,Module 1: Introduction ...............................................,CDP-1.24.1,Sub-question,"Have you mapped where in your direct operations or elsewhere in your value chain plastics are produced,"
177,CDP,Module 1: Introduction ...............................................,CDP-1.24.2,Sub-question,"Which commodities has your organization mapped in your upstream value chain (i.e., supply chain)?"
178,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.1,Main question,"How does your organization define short-, medium-, and long-term time horizons in relation to the"
179,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.2,Main question,"Does your organization have a process for identifying, assessing, and managing environmental dependencies"
180,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.2.1,Sub-question,"Does your organization have a process for identifying, assessing, and managing environmental risks and/or"
181,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.2.2,Sub-question,"Provide details of your organization’s process for identifying, assessing, and managing environmental"
182,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.2.3,Sub-question,"Provide mining-specific details of your organization’s process for identifying, assessing, and managing"
183,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.2.4,Sub-question,"Does your organization have a process for identifying, assessing, and managing environmental"
184,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.2.5,Sub-question,"Does your organization have a process for identifying, assessing, and managing environmental risks and/or"
185,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.2.6,Sub-question,"Provide details of your organization’s process for identifying, assessing, and managing environmental"
186,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.2.7,Sub-question,"Are the interconnections between environmental dependencies, impacts, risks and/or opportunities"
187,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.2.8,Sub-question,Does your organization consider environmental information about your clients/investees as part of your
188,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.2.9,Sub-question,Indicate the environmental information your organization considers about clients/investees as part of your
189,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.3,Main question,Have you identified priority locations across your value chain?
190,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.4,Main question,How does your organization define substantive effects on your organization?
191,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.5,Main question,Does your organization identify and classify potential water pollutants associated with its activities that could
192,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.5.1,Sub-question,Describe how your organization minimizes the adverse impacts of potential water pollutants on water
193,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.6,Main question,"By river basin, what number of active and inactive tailings dams are within your control?"
194,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.6.1,Sub-question,Do you evaluate and classify the tailings dams under your control according to the consequences of their
195,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.6.2,Sub-question,Provide details for all dams classified as 'hazardous' or 'highly hazardous'.
196,CDP,"Module 2: Identification, assessment, and management of dependencies, ",CDP-2.6.3,Sub-question,To manage the potential impacts to human health or water ecosystems associated with the tailings dams
197,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.1,Main question,Have you identified any environmental risks which have had a substantive effect on your organization in the
198,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.1.1,Sub-question,Provide details of the environmental risks identified which have had a substantive effect on your
199,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.1.2,Sub-question,Provide the amount and proportion of your financial metrics from the reporting year that are vulnerable to
200,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.2,Main question,"Within each river basin, how many facilities are exposed to substantive effects of water-related risks, and"
201,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.3,Main question,"In the reporting year, was your organization subject to any fines, enforcement orders, and/or other penalties"
202,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.3.1,Sub-question,Provide the total number and financial value of all water-related fines.
203,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.3.2,Sub-question,"Provide details for all significant fines, enforcement orders, and/or penalties for water-related regulatory"
204,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.4,Main question,"In the reporting year, was your organization subject to any fines, enforcement orders, and/or other penalties"
205,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.4.1,Sub-question,"Provide details for all significant fines, enforcement orders and/or other penalties for biodiversity-related"
206,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.5,Main question,"Are any of your operations or activities regulated by a carbon pricing system (i.e. ETS, Cap & Trade or Carbon"
207,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.5.1,Sub-question,Select the carbon pricing regulations(s) which impact your operations.
208,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.5.2,Sub-question,Provide details of each Emissions Trading Scheme (ETS) your organization is regulated by.
209,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.5.3,Sub-question,Complete the following table for each of the tax systems you are regulated by.
210,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.5.4,Sub-question,What is your strategy for complying with the systems you are regulated by or anticipate being regulated by?
211,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.6,Main question,Have you identified any environmental opportunities which have had a substantive effect on your
212,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.6.1,Sub-question,Provide details of the environmental opportunities identified which have had a substantive effect on your
213,CDP,Module 3: Disclosure of risks and opportunities ......................,CDP-3.6.2,Sub-question,Provide the amount and proportion of your financial metrics in the reporting year that are aligned with the
214,CDP,Module 4: Governance .................................................,CDP-4.1,Main question,Does your organization have a board of directors or an equivalent governing body?
215,CDP,Module 4: Governance .................................................,CDP-4.1.1,Sub-question,Is there board-level oversight of environmental issues within your organization?
216,CDP,Module 4: Governance .................................................,CDP-4.1.2,Sub-question,Identify the positions (do not include any names) of the individuals or committees on the board with
217,CDP,Module 4: Governance .................................................,CDP-4.2,Main question,Does your organization’s board have competency on environmental issues?
218,CDP,Module 4: Governance .................................................,CDP-4.3,Main question,Is there management-level responsibility for environmental issues within your organization?
219,CDP,Module 4: Governance .................................................,CDP-4.3.1,Sub-question,Provide the highest senior management-level positions or committees with responsibility for environmental
220,CDP,Module 4: Governance .................................................,CDP-4.4,Main question,Does your organization have management-level competency on environmental issues?
221,CDP,Module 4: Governance .................................................,CDP-4.5,Main question,"Do you provide monetary incentives for the management of environmental issues, including the attainment"
222,CDP,Module 4: Governance .................................................,CDP-4.5.1,Sub-question,Provide further details on the monetary incentives provided for the management of environmental issues
223,CDP,Module 4: Governance .................................................,CDP-4.6,Main question,Does your organization have an environmental policy that addresses environmental issues?
224,CDP,Module 4: Governance .................................................,CDP-4.6.1,Sub-question,Provide details of your environmental policies.
225,CDP,Module 4: Governance .................................................,CDP-4.7,Main question,Does the policy framework for the portfolio activities of your organization include environmental
226,CDP,Module 4: Governance .................................................,CDP-4.7.1,Sub-question,Provide details of the policies which include environmental requirements that clients/investees need to
227,CDP,Module 4: Governance .................................................,CDP-4.7.2,Sub-question,"Provide details of your exclusion policies related to industries, activities and/or locations exposed or"
228,CDP,Module 4: Governance .................................................,CDP-4.8,Main question,Does your organization include covenants in financing agreements to reflect and enforce your environmental
229,CDP,Module 4: Governance .................................................,CDP-4.8.1,Sub-question,Provide details of the covenants included in your organization’s financing agreements to reflect and enforce
230,CDP,Module 4: Governance .................................................,CDP-4.9,Main question,Does your organization offer its employees a pension scheme that incorporates environmental criteria in its
231,CDP,Module 4: Governance .................................................,CDP-4.10,Main question,Are you a signatory or member of any environmental collaborative frameworks or initiatives?
