IMPACTREE STANDARD QUESTIONNAIRE,,,,,,,,,,,,,,,,
A unified sustainability disclosure framework integrating BRSR · CDP · EcoVadis · GRI  |  Version 1.0  |  © Impactree,,,,,,,,,,,,,,,,
Standard Coverage Legend:  🟢 All 4 standards  |  🟡 3 standards  |  🟠 2 standards  |  🔵 1 standard  |  ⚪ No source mapping (reserved indicator),,,,,,,,,,,,,,,,
Impactree ID,Module,Indicator,Impactree Question,Response Format,Metric / Unit,Reporting Period,Guidance Note,BRSR,CDP,"Eco
Vadis",GRI,"Standards
Covered",BRSR IDs,CDP IDs,EcoVadis IDs,GRI IDs
IMP-M02-I04,Sustainability Management & Reporting,Sustainability Endorsements & Initiatives,"Does your organization formally and publicly endorse any external sustainability initiatives or sets of principles (e.g., UN Global Compact)? If yes, provide details.",Multiple + Description,Text; Web URL,As at reporting date,"List all formal public endorsements of external sustainability initiatives or principles (e.g., UN Global Compact, Science Based Targets, RE100). For each, provide the endorsement date and a reference link or documentation.",—,—,✓,—,1,,,EV-GEN308,
IMP-M02-I05,Sustainability Management & Reporting,Third-Party Assurance & External Audits,"Has your organization undergone third-party assurance or an independent external audit of its sustainability data, policies, or practices? If yes, provide the scope, findings, and auditor details.",Yes / No + Description,Text; Assurance level,Current FY,"State whether an independent external assurance or audit of sustainability data has been conducted. If yes, provide the name of the assurance provider, scope of assurance, assurance standard applied (e.g., ISAE 3000), and level (limited/reasonable).",✓,✓,✓,—,3,BRSR-11,CDP-7.9 | CDP-7.9.1 | CDP-7.9.2 | CDP-7.9.3,EV-GEN5004,
IMP-M02-I06,Sustainability Management & Reporting,Materiality Assessment,"Describe the process used to identify material ESG topics. List material issues identified, indicate whether each is a risk or opportunity, and explain the financial implications.",Data Table + Narrative,Risk / Opportunity flag; Financial implication,Current FY,"Describe the process for materiality assessment. List material ESG issues identified, classify each as risk or opportunity, provide rationale, and indicate positive or negative financial implications.",✓,—,—,✓,2,BRSR-24,,,GRI-3-1a | GRI-3-1i | GRI-3-1b | GRI-3-2a | GRI-3-2b | GRI-3-3a | GRI-3-3b | GRI-3-3c | GRI-3-3d | GRI-3-3i | GRI-3-3e | GRI-3-3f
IMP-M02-I07,Sustainability Management & Reporting,KPI Reporting Standards & Frameworks,"Which sustainability reporting frameworks or standards does your organization use to report ESG metrics (e.g., GRI, BRSR, CDP, TCFD, SASB)? Describe your consolidation approach and reporting boundary.",Multiple + Description,Text,Current reporting year,"Identify all sustainability reporting frameworks or standards used (e.g., GRI, BRSR, CDP, TCFD, SASB, ISSB). Describe your consolidation approach (equity share, financial control, operational control) and reporting boundary.",—,✓,✓,✓,3,,CDP-1.9 | CDP-1.10 | CDP-6.1 | CDP-7.1 | CDP-7.1.1 | CDP-7.1.2 | CDP-7.1.3 | CDP-13.1 | CDP-13.1.1 | CDP-13.2,EV-GEN600 | EV-ENV5001 | EV-ENV6001 | EV-ENV610 | EV-LAB4501 | EV-LAB601,GRI-101-8a | GRI-101-8b | GRI-102-9a | GRI-102-9b | GRI-102-9c | GRI-102-9d | GRI-102-9i | GRI-102-9e | GRI-102-10a | GRI-102-10b | GRI-102-10i | GRI-102-10c | GRI-102-10v | GRI-102-10d | GRI-102-10e | GRI-2-4a | GRI-2-4i | GRI-2-5a | GRI-2-5b | GRI-2-5i
IMP-M02-I08,Sustainability Management & Reporting,SDG Alignment,"Does your organization communicate progress towards the UN Sustainable Development Goals (SDGs)? If yes, which SDGs are most relevant to your operations and what progress has been made?",Multiple + Description,Text; SDG number,Current FY,"Identify which UN Sustainable Development Goals (SDGs) are most relevant to your operations and value chain. For each relevant SDG, describe specific actions taken and measurable progress achieved in the reporting year.",—,—,✓,—,1,,,EV-GEN4001,
  M03  ·  GOVERNANCE & ETHICS,,,,,,,,,,,,,,,,
IMP-M03-I01,Governance & Ethics,Board Oversight of ESG,"Describe the board-level structure for oversight of ESG and sustainability issues, including which committees or directors are responsible and the frequency of review.",Narrative,Text; Frequency,As at reporting date,"Describe the board committee or director(s) responsible for ESG oversight. Include frequency of review, topics discussed, and how ESG performance is reported to the board. State whether board members have relevant competency.",✓,✓,—,✓,3,BRSR-7 | BRSR-9,CDP-4.1 | CDP-4.1.1 | CDP-4.1.2 | CDP-4.2 | CDP-4.11 | CDP-4.11.1 | CDP-4.11.2 | CDP-4.12 | CDP-4.12.1,,GRI-2-9a | GRI-2-9b | GRI-2-9c | GRI-2-9i | GRI-2-10a | GRI-2-10b | GRI-2-10i | GRI-2-11a | GRI-2-11b | GRI-2-12a | GRI-2-12b | GRI-2-12i | GRI-2-12c | GRI-2-14a | GRI-2-14b | GRI-2-17a
IMP-M03-I02,Governance & Ethics,Management Responsibility for ESG,Identify executive-level positions responsible for ESG management and decision-making. How is sustainability integrated into senior management responsibilities?,Narrative,Text,As at reporting date,"Identify executive-level roles accountable for ESG management. Describe how sustainability objectives are integrated into senior management KPIs, incentive structures, and decision-making processes.",✓,✓,—,✓,3,BRSR-8,CDP-4.3 | CDP-4.3.1 | CDP-4.4 | CDP-4.5 | CDP-4.5.1 | CDP-4.6 | CDP-4.6.1 | CDP-4.9,,GRI-2-13a | GRI-2-13i | GRI-2-13b
IMP-M03-I03,Governance & Ethics,Anti-Corruption & Anti-Bribery,"Does your organization have an anti-corruption and anti-bribery policy? Report the percentage of governance body members, employees, and business partners trained on anti-corruption. Report any incidents, disciplinary actions, or confirmed corruption cases.",Mixed,Number; % coverage,Current FY + Previous FY,"Confirm whether an anti-corruption/anti-bribery policy exists. Report the percentage of governance body members, employees, and business partners trained. Report the number of confirmed corruption incidents, disciplinary actions taken, and legal proceedings initiated.",✓,—,✓,✓,3,BRSR-4 | BRSR-5,,EV-FB100 | EV-FB3102,GRI-205-1a | GRI-205-1b | GRI-205-2a | GRI-205-2b | GRI-205-2c | GRI-205-2d | GRI-205-2e | GRI-205-3a | GRI-205-3b | GRI-205-3c | GRI-205-3d | GRI-410-1a | GRI-410-1b
IMP-M03-I04,Governance & Ethics,Conflicts of Interest,Describe mechanisms in place to identify and manage conflicts of interest for board members and Key Management Personnel (KMPs). Report the number of conflict-of-interest complaints received.,Mixed,Number of complaints,Current FY + Previous FY,Describe mechanisms to identify and manage conflicts of interest for board members and KMPs. Report the number of conflict-of-interest complaints received and resolved during the reporting period.,✓,—,—,✓,2,BRSR-6,,,GRI-2-15a | GRI-2-15b | GRI-2-15i
IMP-M03-I05,Governance & Ethics,Anti-Competitive Behaviour,"Report any legal actions or adverse orders related to anti-competitive behavior, monopolistic practices, or market abuse. Describe corrective actions taken.",Narrative,Text; Number of cases,Current FY,"Report any legal actions, investigations, or adverse regulatory orders related to anti-competitive conduct or abuse of market dominance. Describe corrective actions taken or underway.",✓,—,—,✓,2,BRSR-2,,,GRI-206-1a | GRI-206-1b
IMP-M03-I06,Governance & Ethics,Tax Governance & Transparency,"Describe your organization's approach to tax governance, tax strategy, country-by-country reporting, and mechanisms for raising concerns about tax-related matters.",Narrative,Text,As at reporting date,"Describe the organization's tax strategy, governance framework, and risk management approach. Include country-by-country reporting obligations, mechanisms for raising tax-related concerns, and the assurance process for tax disclosures.",—,—,—,✓,1,,,,GRI-207-1a | GRI-207-1i | GRI-207-2a | GRI-207-2i | GRI-207-2b | GRI-207-2c | GRI-207-3a | GRI-207-3i | GRI-207-4a | GRI-207-4b | GRI-207-4i | GRI-207-4v | GRI-207-4x | GRI-207-4c
IMP-M03-I07,Governance & Ethics,Public Policy Advocacy,"List trade and industry associations your organization is affiliated with. Describe any public policy positions advocated, lobbying activities, and the method and frequency of board review.",Data Table + Narrative,Number of affiliations,Current FY,"List the top trade and industry associations the organization is affiliated with. For each public policy position advocated, describe the method of advocacy, frequency of board review, and whether information is publicly available.",✓,—,—,✓,2,BRSR-1 | BRSR-1,,,GRI-415-1a | GRI-415-1b
IMP-M03-I08,Governance & Ethics,Grievance & Whistleblower Mechanisms,"Describe the grievance redressal and whistleblower mechanisms available to all stakeholder groups (employees, workers, communities, investors, customers, value chain partners). Report grievances filed and pending resolution.",Data Table,Number of complaints; Resolution status,Current FY + Previous FY,"Describe the grievance redressal and whistleblower mechanisms available to each stakeholder group. Report the number of grievances filed and pending resolution at year-end, by stakeholder category.",✓,—,—,✓,2,BRSR-23 | BRSR-6 | BRSR-13 | BRSR-6,,,GRI-2-16a | GRI-2-16b | GRI-2-25a | GRI-2-25b | GRI-2-25c | GRI-2-25d | GRI-2-25e | GRI-2-26a | GRI-2-26i
IMP-M03-I09,Governance & Ethics,Regulatory Penalties & Legal Actions,"Report all monetary and non-monetary fines, penalties, settlements, or legal actions by regulatory authorities, law enforcement agencies, or judicial institutions during the reporting year.",Data Table,Amount (INR / USD); Number of cases,Current FY,"Report all monetary fines, penalties, settlements, and compounding fees, and non-monetary actions (imprisonment, punishment) imposed by regulatory/judicial authorities. For each, state whether an appeal has been preferred.",✓,✓,✓,—,3,BRSR-2 | BRSR-3 | BRSR-7 | BRSR-2,CDP-4.10,EV-FB610,
  M04  ·  RISK & OPPORTUNITY MANAGEMENT,,,,,,,,,,,,,,,,
IMP-M04-I01,Risk & Opportunity Management,Risk & Opportunity Identification Process,"Describe the process used to identify, assess, and manage ESG-related risks and opportunities, including the time horizons used (short, medium, long-term).",Narrative,Text; Time horizon,Current FY,"Describe the process and tools used to identify, assess, and prioritize ESG-related risks and opportunities. Specify the short, medium, and long-term time horizons used, and how outputs inform strategic and business planning.",—,✓,—,—,1,,CDP-1.11 | CDP-1.12 | CDP-1.14 | CDP-1.20 | CDP-2.1 | CDP-2.2 | CDP-2.2.1 | CDP-2.2.2 | CDP-2.2.3 | CDP-2.2.4 | CDP-2.2.5 | CDP-2.2.6 | CDP-2.2.7 | CDP-2.2.8 | CDP-2.2.9 | CDP-3.4 | CDP-3.4.1 | CDP-3.5 | CDP-3.5.1 | CDP-3.5.2 | CDP-3.5.3 | CDP-3.5.4 | CDP-3.6 | CDP-3.6.1 | CDP-3.6.2,,
IMP-M04-I02,Risk & Opportunity Management,Climate-Related Financial Risks & Opportunities,"Identify climate-related financial risks and opportunities (physical, transition, and systemic) with potential to materially affect your organization. Report the financial implications and actions taken to manage them.",Data Table + Narrative,Financial impact (currency); Probability,Current FY,"For each material climate-related risk or opportunity, describe its type (physical/transition/systemic), likely financial impact, the time horizon, and management approach. Include current and anticipated financial implications.",—,✓,—,✓,2,,CDP-1.17 | CDP-3.1 | CDP-3.1.1 | CDP-3.1.2,,GRI-102-7a | GRI-102-7i | GRI-102-7v | GRI-102-7b | GRI-102-7c | GRI-102-7d | GRI-102-7e | GRI-102-7f | GRI-201-2a | GRI-201-2i | GRI-201-2v
IMP-M04-I03,Risk & Opportunity Management,Nature & Biodiversity-Related Risks,Identify risks and opportunities related to biodiversity loss and ecosystem degradation that could materially affect your organization. Describe your approach to managing these.,Narrative,Text,Current FY,"Identify risks and opportunities arising from biodiversity loss, ecosystem degradation, or nature-related dependencies that could materially affect operations or value chain. Describe the management response.",—,✓,—,—,1,,CDP-1.18 | CDP-2.3 | CDP-2.5 | CDP-2.5.1 | CDP-2.6 | CDP-2.6.1 | CDP-2.6.2 | CDP-2.6.3 | CDP-3.2,,
IMP-M04-I04,Risk & Opportunity Management,Water-Related Risks,"Identify water-related risks (scarcity, quality, regulatory, reputational) affecting your operations or value chain. Report the financial implications and risk management approach.",Narrative,Text; Financial impact,Current FY,"Identify specific water-related risks (scarcity, quality degradation, flooding, regulatory) affecting operations or supply chain. For each risk, describe the financial implications and risk management approach.",—,✓,—,—,1,,CDP-1.19 | CDP-2.4 | CDP-3.3 | CDP-3.3.1 | CDP-3.3.2,,
IMP-M04-I05,Risk & Opportunity Management,Scenario Analysis,"Has your organization used scenario analysis to assess climate or environmental risks? If yes, describe the scenarios used, assumptions, time horizons, and key findings.",Narrative,Text; Scenario name,As at reporting date,"Describe the climate or environmental scenarios used, including warming pathway (e.g., 1.5°C, 2°C, 4°C) or other scenario frameworks. Explain the time horizon, key assumptions, and strategic implications identified.",—,✓,—,—,1,,CDP-1.15 | CDP-1.16 | CDP-1.16.1 | CDP-5.9 | CDP-5.10 | CDP-5.10.1 | CDP-5.10.2,,
IMP-M04-I06,Risk & Opportunity Management,Business Continuity & Disaster Management,"Does your organization have a business continuity and disaster management plan? Describe its scope, coverage, and key elements.",Yes / No + Description,Text,As at reporting date,"Confirm whether a business continuity and disaster management plan exists. Describe its scope, the hazards or disruptions it covers, testing frequency, and key mitigation measures.",—,—,—,—,0,,,,
  M05  ·  GHG EMISSIONS & CLIMATE CHANGE,,,,,,,,,,,,,,,,
IMP-M05-I01,GHG Emissions & Climate Change,Scope 1 (Direct) GHG Emissions,"Report your organization's gross direct (Scope 1) GHG emissions in metric tons CO2 equivalent. Include a breakdown by gas type (CO2, CH4, N2O, HFCs, PFCs, SF6, NF3), the consolidation approach, emission factors, and methodology used.",Data Table,Metric tons CO2 equivalent (tCO2e),Current FY + Previous FY,"Report gross direct Scope 1 GHG emissions in tCO2e. Break down by gas type (CO2, CH4, N2O, HFCs, PFCs, SF6, NF3). State the consolidation approach, GWP rates used, emission factors, and methodology standard applied.",✓,✓,✓,✓,4,BRSR-6 | BRSR-6,CDP-7.4 | CDP-7.4.1 | CDP-7.5 | CDP-7.6 | CDP-7.38 | CDP-7.38.1 | CDP-7.38.2 | CDP-7.38.3 | CDP-7.38.4 | CDP-7.52 | CDP-7.53 | CDP-7.53.1 | CDP-7.53.2 | CDP-7.53.3 | CDP-7.53.4 | CDP-7.54 | CDP-7.54.1 | CDP-7.54.2 | CDP-7.54.3 | CDP-7.54.4 | CDP-7.54.5 | CDP-7.55 | CDP-7.55.1 | CDP-7.55.2 | CDP-7.55.3 | CDP-7.55.4 | CDP-7.56 | CDP-7.57 | CDP-7.58 | CDP-7.59 | CDP-7.60 | CDP-7.60.1 | CDP-7.60.2 | CDP-7.61 | CDP-7.61.1 | CDP-7.61.2 | CDP-7.62 | CDP-7.63 | CDP-7.64 | CDP-7.65 | CDP-7.66 | CDP-7.66.1 | CDP-7.66.2 | CDP-7.66.3 | CDP-7.67 | CDP-7.67.1 | CDP-7.68 | CDP-7.68.1 | CDP-7.68.2 | CDP-7.68.3 | CDP-7.69 | CDP-7.69.1 | CDP-7.70 | CDP-7.70.1 | CDP-7.71 | CDP-7.71.1 | CDP-7.72 | CDP-7.72.1 | CDP-7.72.2 | CDP-7.72.3 | CDP-7.73 | CDP-7.73.1 | CDP-7.73.2 | CDP-7.73.3 | CDP-7.73.4 | CDP-7.73.5 | CDP-7.73.6 | CDP-7.74 | CDP-7.74.1 | CDP-7.75 | CDP-7.76 | CDP-7.76.1 | CDP-7.77 | CDP-7.77.1 | CDP-7.78 | CDP-7.79 | CDP-7.79.1,EV-ENV630 | EV-CAR105 | EV-CAR108 | EV-CAR104,GRI-102-1a | GRI-102-1b | GRI-102-1c | GRI-102-1d | GRI-102-1e | GRI-102-1f | GRI-102-1i | GRI-102-1g | GRI-102-1h | GRI-102-1j | GRI-305-1a | GRI-305-1b | GRI-305-1c | GRI-305-1d | GRI-305-1i | GRI-305-1e | GRI-305-1f | GRI-305-1g
IMP-M05-I02,GHG Emissions & Climate Change,Scope 2 (Indirect) GHG Emissions,"Report your organization's gross indirect (Scope 2) GHG emissions in metric tons CO2 equivalent, using both market-based and location-based methods where applicable. Include emission factors and methodology.",Data Table,Metric tons CO2 equivalent (tCO2e),Current FY + Previous FY,"Report gross indirect Scope 2 GHG emissions using both market-based and location-based methods. Specify the emission factors, contractual instruments used (for market-based), and the methodology standard.",—,✓,—,✓,2,,CDP-7.3 | CDP-7.7,,GRI-102-2a | GRI-102-2b | GRI-102-2i | GRI-102-2v | GRI-102-2c | GRI-102-2d | GRI-305-2a | GRI-305-2b | GRI-305-2c | GRI-305-2d | GRI-305-2i | GRI-305-2e | GRI-305-2f | GRI-305-2g
IMP-M05-I03,GHG Emissions & Climate Change,Scope 3 (Value Chain) GHG Emissions,Report your organization's Scope 3 (value chain) GHG emissions in metric tons CO2 equivalent across all relevant categories. Explain any exclusions and the methodology applied.,Data Table,Metric tons CO2 equivalent (tCO2e),Current FY + Previous FY,"Report Scope 3 GHG emissions by category (GHG Protocol categories 1–15). For each category, report the emissions figure, data quality, calculation methodology, and reason for any exclusions.",—,✓,✓,✓,3,,CDP-7.8 | CDP-7.8.1 | CDP-7.34 | CDP-7.34.1 | CDP-7.47 | CDP-7.48,EV-CAR106 | EV-CAR103,GRI-102-3a | GRI-102-3b | GRI-102-3c | GRI-102-3d | GRI-102-3e | GRI-102-3f | GRI-102-3g | GRI-102-3h | GRI-102-3i | GRI-102-3j | GRI-305-3a | GRI-305-3b | GRI-305-3c | GRI-305-3d | GRI-305-3e | GRI-305-3i | GRI-305-3f | GRI-305-3g
IMP-M05-I04,GHG Emissions & Climate Change,GHG Emission Intensity,"Report your organization's GHG emission intensity per unit of revenue, production output, or other relevant activity metric. Specify the metric used and the calculation methodology.",Data Table,tCO2e per unit (revenue/production/employee),Current FY + Previous FY,"Report GHG emission intensity using at least one activity-based metric (e.g., tCO2e per INR crore turnover, per unit produced, per employee). Specify which scopes are included and the denominator used.",—,✓,—,✓,2,,CDP-7.2 | CDP-7.13 | CDP-7.13.1 | CDP-7.14 | CDP-7.35 | CDP-7.36 | CDP-7.37 | CDP-7.37.1 | CDP-7.49 | CDP-7.50 | CDP-7.51,,GRI-305-4a | GRI-305-4b | GRI-305-4c | GRI-305-4d
IMP-M05-I05,GHG Emissions & Climate Change,GHG Emission Reduction Targets & Progress,"What are your organization's GHG emission reduction targets (absolute and/or intensity-based)? Report the base year, target year, scope, and progress made towards achieving these targets.",Data Table + Narrative,% reduction vs. base year; tCO2e,Current FY vs. target year,"State the base year, base year emissions, target year, and reduction target (absolute and/or intensity-based). Report progress to date, reasons for any deviations, and whether targets are science-based (SBTi aligned).",—,✓,✓,✓,3,,CDP-5.6 | CDP-5.7 | CDP-5.7.1 | CDP-5.11 | CDP-5.11.1 | CDP-5.11.2 | CDP-5.11.3 | CDP-5.11.4 | CDP-5.11.5 | CDP-5.11.6 | CDP-5.11.7 | CDP-5.11.8 | CDP-5.11.9 | CDP-5.12 | CDP-7.10 | CDP-7.10.1 | CDP-7.10.2 | CDP-7.11 | CDP-7.11.1 | CDP-7.12 | CDP-7.12.1,EV-CAR107 | EV-CAR100,GRI-102-4a | GRI-102-4i | GRI-102-4b | GRI-102-4c | GRI-102-4d | GRI-102-4e | GRI-102-4f | GRI-102-4g | GRI-102-4h | GRI-102-4j | GRI-102-4k | GRI-305-5a | GRI-305-5b | GRI-305-5c | GRI-305-5d | GRI-305-5e
IMP-M05-I06,GHG Emissions & Climate Change,Climate Transition Plan & Strategy,"Describe your organization's climate transition strategy, including planned capital allocation, technology adoption, and business model changes to align with low-carbon pathways.",Narrative,Text; INR / USD (capital allocation),As at reporting date,"Describe the organization's transition strategy including planned business model changes, capital expenditure in low-carbon technologies, and timelines for decarbonization milestones.",—,✓,✓,✓,3,,CDP-5.3 | CDP-5.3.1 | CDP-5.3.2 | CDP-5.4 | CDP-5.4.1 | CDP-5.4.2 | CDP-5.4.3 | CDP-5.5 | CDP-5.5.1 | CDP-5.5.2 | CDP-5.5.3 | CDP-5.5.4 | CDP-5.5.5 | CDP-5.5.6 | CDP-5.5.7 | CDP-5.5.8 | CDP-5.8 | CDP-5.13 | CDP-5.13.1 | CDP-5.14 | CDP-5.14.1 | CDP-7.27 | CDP-7.28 | CDP-7.29 | CDP-7.30 | CDP-7.30.1 | CDP-7.30.2 | CDP-7.30.3 | CDP-7.30.4 | CDP-7.30.5 | CDP-7.30.6 | CDP-7.30.7 | CDP-7.30.8 | CDP-7.30.9 | CDP-7.30.10 | CDP-7.30.11 | CDP-7.30.12 | CDP-7.30.13 | CDP-7.30.14 | CDP-7.30.15 | CDP-7.30.16 | CDP-7.30.17 | CDP-7.30.18 | CDP-7.30.19 | CDP-7.30.20 | CDP-7.30.21 | CDP-7.30.22 | CDP-7.31 | CDP-7.31.1 | CDP-7.31.2 | CDP-7.32 | CDP-7.33 | CDP-7.33.1,EV-CAR102 | EV-CAR101,GRI-102-5a | GRI-102-5i | GRI-102-5b | GRI-102-5c | GRI-102-5d | GRI-102-5e | GRI-102-5f
IMP-M05-I07,GHG Emissions & Climate Change,Carbon Credits & Offsets,"Does your organization use carbon credits or offsets to meet GHG targets? If yes, describe the volume, type, verification standard, and project details.",Data Table,tCO2e; INR / USD,Current FY,"Report the volume of carbon credits or offsets used, broken down by type (avoidance vs. removal), project type, vintage year, and verification standard (e.g., Gold Standard, VCS). State the total spend.",—,✓,—,✓,2,,CDP-7.21 | CDP-7.22 | CDP-7.23 | CDP-7.23.1 | CDP-7.24 | CDP-7.25 | CDP-7.25.1,,GRI-102-8a | GRI-102-8b
IMP-M05-I08,GHG Emissions & Climate Change,GHG Reduction Initiatives & Projects,Describe specific projects or initiatives implemented to reduce GHG emissions. Report the estimated or achieved emission reductions (in metric tons CO2e) and associated costs or savings.,Data Table,tCO2e reduced; INR / USD saved,Current FY,"List specific GHG reduction projects or initiatives. For each, describe the type of initiative, emission reductions achieved or estimated (tCO2e), investment made, and cost savings realized.",✓,✓,—,✓,3,BRSR-7 | BRSR-7,CDP-7.19 | CDP-7.20 | CDP-7.20.1 | CDP-7.20.2 | CDP-7.20.3 | CDP-7.26,,GRI-102-6a | GRI-102-6i | GRI-102-6b | GRI-102-6c | GRI-102-6d | GRI-102-6e | GRI-102-6f
